year,none,D,S
1958,4,6,
1957,11,9,
1956,10,6,
1955,4,4,
1954,,2,
1953,,8,
1952,2,9,
1951,3,5,
1950,6,2,1
1949,3,,
1948,1,1,
1947,3,,
1946,9,1,
1945,12,,
1944,11,1,1
1943,,,
1942,10,,
1941,5,1,
1940,2,1,
1939,1,,
1938,2,,
1937,,,
1936,2,,
1935,,,
1934,1,,
1933,,,
1932,,,
1931,,,
1930,,,
1929,,,
1928,1,,
1927,1,1,
1926,,,
1925,,,
1924,,,
1923,,,
1922,,,
1921,,,
1920,,,
1919,,,
